Date;ER;DD;dflows;LER;dLER;dPoil;dDate;match
01.04.2003;31.3801;0.363073043;0.005862925;3.446173934;-0.000637345;5.533560307;7;1004
05.04.2003;31.2818;0.361338814;-0.001997494;3.443036459;-0.313747526;-4.745415863;4;1008
10.04.2003;31.2821;0.361717586;0.002823241;3.443046049;0.000959019;-6.326830017;5;1013
15.04.2003;31.2345;0.359669965;0.000156663;3.441523253;-0.152279584;-1.565354058;5;1018
20.04.2003;31.1899;0.357502041;0.000213574;3.440094324;-0.142892867;2.556049698;5;1023
25.04.2003;31.1;0.357759633;0.00128075;3.437207819;-0.288650527;-5.262241902;5;1028
01.05.2003;31.1021;0.356649195;0.007248291;3.437275341;0.006752184;-1.930399852;6;1034
05.05.2003;31.1021;0.358066654;-0.002970394;3.437275341;0;0.549335842;4;1038
10.05.2003;31.1001;0.355958608;0.002615505;3.437211035;-0.006430641;3.11163872;5;1043
15.05.2003;30.9811;0.354370343;0.000778876;3.433377341;-0.383369348;5.94705536;5;1048
20.05.2003;30.89;0.353600883;0.001592525;3.430432507;-0.294483421;4.699229544;5;1053
25.05.2003;30.8316;0.350117841;-0.001850057;3.428540138;-0.189236888;0.329972802;5;1058
01.06.2003;30.709;0.346901632;0.00415559;3.424555771;-0.398436681;-3.463388419;7;1065
05.06.2003;30.7599;0.347650354;-0.002555206;3.426211894;0.165612242;4.083715166;4;1069
10.06.2003;30.4613;0.344168669;0.003444196;3.416457025;-0.975486818;4.028347195;5;1074
15.06.2003;30.5123;0.340225057;-0.002610397;3.418129881;0.167285553;-0.490368759;5;1079
20.06.2003;30.3807;0.340396734;0.00281078;3.413807538;-0.432234263;-8.306106921;5;1084
25.06.2003;30.3511;0.336789701;-0.00347592;3.412832761;-0.097477771;2.821326871;5;1089
01.07.2003;30.3809;0.334309769;0.004135938;3.413814121;0.098136081;6.879502798;6;1095
05.07.2003;30.2906;0.333401493;-0.001647497;3.410837433;-0.297668812;-0.869419492;4;1099
10.07.2003;30.4178;0.332666683;0.001273183;3.415027963;0.419053001;-1.47785941;5;1104
15.07.2003;30.4955;0.332785293;0.001165443;3.417579132;0.255116837;1.092907053;5;1109
20.07.2003;30.4316;0.330426687;-0.000245907;3.415481542;-0.209758953;0.245141079;5;1114
25.07.2003;30.3557;0.332040052;0.003035502;3.412984309;-0.249723345;-3.054214671;5;1119
01.08.2003;30.2791;0.330440709;0.004379862;3.410457706;-0.252660323;3.36851561;7;1126
05.08.2003;30.332;0.333579161;-0.000293431;3.412203261;0.17455553;4.199285691;4;1130
10.08.2003;30.3977;3.30E-01;-0.0000231;3.414366948;0.216368682;0.500251168;5;1135
15.08.2003;30.3287;0.330075743;0.003323858;3.412094459;-0.227248873;-3.727981681;5;1140
20.08.2003;30.3258;0.331185676;-0.000436966;3.411998835;-0.009562357;0.756797558;5;1145
25.08.2003;30.31;0.328002751;-0.001573335;3.411477691;-0.052114429;3.502041375;5;1150
01.09.2003;30.5036;0.330312389;0.005754557;3.417844709;0.636701837;0.528054032;7;1157
05.09.2003;30.6396;0.332032189;-0.00191706;3.42229329;0.444858052;-9.996219499;4;1161
10.09.2003;30.6407;0.332265992;0.002193865;3.422329191;0.003590061;0.544169672;5;1166
15.09.2003;30.659;0.331980195;0.001766037;3.422926257;0.059706656;-4.136483358;5;1171
20.09.2003;30.56;0.330499688;0.001328026;3.419691964;-0.323429283;-3.687053581;5;1176
25.09.2003;30.451;0.33132241;0.001279526;3.416118834;-0.357312996;4.774632274;5;1181
01.10.2003;30.6142;0.337278542;0.010391276;3.421463954;0.534511927;4.663868887;6;1187
05.10.2003;30.4382;0.337139488;-0.001522777;3.415698399;-0.576555508;2.8427954;4;1191
10.10.2003;30.235;0.335090348;0.002627397;3.409000194;-0.66982048;4.433140028;5;1196
15.10.2003;30.2348;0.332724321;-0.002693914;3.408993579;-0.000661487;4.022598775;5;1201
20.10.2003;30.0741;0.330768638;0.001445912;3.403664336;-0.532924263;-3.824186011;5;1206
25.10.2003;29.9156;0.329299484;0.000436507;3.398380083;-0.528425276;-2.136976145;5;1211
01.11.2003;29.9451;0.328960318;0.004331488;3.399365705;0.09856217;-7.569286148;7;1218
05.11.2003;29.8608;0.33031609;-0.001670292;3.396546583;-0.281912172;-0.547546541;4;1222
10.11.2003;29.8113;0.325527198;-0.000745866;3.394887516;-0.165906718;5.032283829;5;1227
15.11.2003;29.8186;0.323668483;0.000648525;3.39513236;0.024484361;0.969872514;5;1232
20.11.2003;29.7952;0.320592691;-0.001870753;3.394347307;-0.078505317;3.788075501;5;1237
25.11.2003;29.7356;0.317849872;-0.002487079;3.392344981;-0.200232552;-7.367404962;5;1242
01.12.2003;29.7387;0.316851123;0.005199756;3.392449228;0.010424671;3.372290049;6;1248
05.12.2003;29.6953;0.316504836;-0.001304822;3.390988784;-0.146044378;1.030936966;4;1252
10.12.2003;29.5529;0.313225223;-0.000143305;3.386181878;-0.480690634;3.427754936;5;1257
15.12.2003;29.4394;0.308667985;-0.000698387;3.382333913;-0.384796457;-0.099157172;5;1262
20.12.2003;29.245;0.302432107;-0.002640501;3.375708619;-0.662529432;1.802441063;5;1267
25.12.2003;29.245;0.303053141;0.00385302;3.375708619;0;-4.449605184;5;1272
01.01.2004;29.4545;0.296937886;0.001711472;3.3828467;0.713808089;2.845380242;7;1279
05.01.2004;29.4545;0.297284531;-0.000536976;3.3828467;0;-2.506396866;4;1283
10.01.2004;28.9918;0.291574501;0.001849239;3.367013031;-1.58336684;5.144556706;5;1288
15.01.2004;28.8691;0.286345687;-0.002423693;3.362771819;-0.424121242;2.319405007;5;1293
20.01.2004;28.7961;0.283783888;-0.00016948;3.360239961;-0.253185765;-0.535350043;5;1298
25.01.2004;28.5514;0.279210002;-0.001469138;3.351705972;-0.853398963;-0.792522772;5;1303
01.02.2004;28.4937;0.274874733;-0.001688252;3.34968301;-0.202296147;-6.407183608;7;1310
05.02.2004;28.5281;0.275114306;0.000666638;3.350889566;0.120655624;0.541456484;4;1314
10.02.2004;28.4939;0.273561381;0.002390962;3.349690029;-0.119953716;-1.804918741;5;1319
15.02.2004;28.518;0.269861193;-0.001454981;3.350535467;0.084543758;3.610987899;5;1324
20.02.2004;28.4959;2.68E-01;0.0000626;3.349760217;-0.077524958;4.725798415;5;1329
25.02.2004;28.4931;0.267890133;-0.000271122;3.349661953;-0.009826458;-0.094891673;5;1334
01.03.2004;28.5156;0.265797558;-0.001170141;3.350451306;0.078935324;4.153060416;5;1339
05.03.2004;28.6654;0.265158479;-0.000273309;3.355690821;0.523951462;1.536406183;4;1343
10.03.2004;28.5216;0.264695527;0.002797232;3.350661695;-0.502912561;0.803934656;5;1348
15.03.2004;28.5083;0.262037266;-0.000445706;3.350195273;-0.046642201;-2.888287415;5;1353
20.03.2004;28.5045;0.261071714;-0.000225145;3.35006197;-0.01333034;4.972001837;5;1358
25.03.2004;28.4852;0.261390485;0.000245135;3.349384654;-0.06773154;-0.845855998;5;1363
01.04.2004;28.5151;0.261711572;0.000749802;3.350433772;0.104911738;-5.57121326;7;1370
05.04.2004;28.5095;0.261453263;0.000834651;3.350237365;-0.019640646;-3.466005415;4;1374
10.04.2004;28.5065;0.258124442;0.000449878;3.350132131;-0.010523362;8.567458562;5;1379
15.04.2004;28.6221;0.260037439;0.001730929;3.354179147;0.404701525;-1.303335985;5;1384
20.04.2004;28.6693;0.260511724;0.000498249;3.355826864;0.164771713;3.428907348;5;1389
25.04.2004;28.9671;0.263908513;0.0016101;3.366160703;1.033383938;-4.327385989;5;1394
01.05.2004;28.9612;0.265299201;0.003868975;3.365957003;-0.020370009;4.18323143;6;1400
05.05.2004;28.9612;0.266042883;0.000655789;3.365957003;0;3.987521063;4;1404
10.05.2004;28.953;0.264668508;0.001222035;3.365673826;-0.028317753;3.219044991;5;1409
15.05.2004;29.0684;0.258438703;-0.008031756;3.369651673;0.39778479;2.779795136;5;1414
20.05.2004;28.9924;0.265289844;0.009578427;3.367033727;-0.261794682;0.130463163;5;1419
25.05.2004;28.9916;2.66E-01;0.00000601;3.367006133;-0.002759382;2.243229296;5;1424
