,RGDP,PGDP,Cons,GPDInv,Emp. Hours,Real Comp/Hour,FedFunds
1988Q1,0.01950659,0.0331827,0.06603617,-0.23205482,0.00356095,0.03512167,0.066633333
1988Q2,0.05054505,0.03907678,0.02853288,0.09615999,0.05678753,0.00248216,0.071566667
1988Q3,0.02126069,0.04658278,0.03324004,0.02566006,0.01091145,0.00248062,0.079833333
1988Q4,0.05246185,0.0317985,0.04666112,0.05282079,0.04413729,-0.01295753,0.0847
1989Q1,0.04038998,0.04156177,0.01487088,0.15027849,0.03914002,-0.02604165,0.094433333
1989Q2,0.02613797,0.03868433,0.01881537,-0.04675903,0.01593736,-0.05023007,0.097266667
1989Q3,0.02843267,0.02904849,0.03788382,-0.04723667,0.00899016,0.0027884,0.090833333
1989Q4,0.01012171,0.02627168,0.01826553,-0.04169943,0.00054187,0.01761486,0.086133333
1990Q1,0.04592358,0.0478538,0.03237456,0.0398134,0.00947075,0.0125946,0.0825
1990Q2,0.01020134,0.04635367,0.01329478,0.00045273,-0.02082653,0.0483708,0.082433333
1990Q3,0.00027536,0.03559845,0.01640189,-0.09536532,-0.0268703,-0.00476523,0.0816
1990Q4,-0.03034736,0.03088481,-0.02873344,-0.26026671,-0.01978098,-0.02758388,0.077433333
1991Q1,-0.02041601,0.04679316,-0.01703242,-0.16748218,-0.04235726,0.01138112,0.064266667
1991Q2,0.02585012,0.02535515,0.03478234,-0.01879031,-0.0248406,0.05576803,0.058633333
1991Q3,0.01929233,0.02736656,0.0172784,0.09831105,-0.00483476,0.01896272,0.056433333
1991Q4,0.01870576,0.02014454,-0.00348344,0.14876893,-0.00496069,0.01456023,0.048166667
1992Q1,0.04122763,0.02648489,0.06539564,-0.08927677,-0.01946203,0.05313946,0.040233333
1992Q2,0.03838645,0.02074689,0.02293787,0.25443566,0.01601793,0.00509879,0.0377
1992Q3,0.0390341,0.01736124,0.0396097,0.04225132,0.00744514,0.03479481,0.032566667
1992Q4,0.04382517,0.02096428,0.04622326,0.12668149,0.02694257,-0.01602154,0.030366667
1993Q1,0.0048458,0.03144703,0.014289,0.09027327,0.03444905,-0.01307995,0.0304
1993Q2,0.02021519,0.02159918,0.03528814,0.03121463,0.0469806,-0.01344444,0.03
