,IND_PROD,EXPORT_D11,IMPORT_D11,EMPLOYED_D11,CONSTRUCTION_D11,CARGO_D11,RETAIL_D11,BUSINESS_CONF,REAL_DISPOSABLE_INCOME_SA,RETAIL_FOOD_D11,RETAIL_NONFOOD_D11,TOTAL_REVENUE_SE_D11,unemp_rate,EXPORT_SNG_D11,agriculture,HOUSING_D11,real_investment,IMPORT_SNG_D11,inflation,d_reer,d_poil,d_pgas,firms_exp,infl_exp
2006M02,4.536794317,5.295743865,5.238242194,4.056623771,4.820445078,4.208056963,4.4938483,4.01740182,4.6381868,4.401717394,4.559835582,4.299179907,7.100147916,5.299398774,5.314018998,4.616871768,5.278781478,4.911142049,1.176048356,0.962555913,-4.413398952,-13.23360184,24.77,
2006M03,4.559784743,5.282649001,5.30105805,4.050763907,4.905698747,4.220225961,4.514050548,4.020651696,4.6703994,4.412171799,4.595227416,4.315816084,7.321426319,5.271473312,5.313889145,4.888985949,5.317749925,4.969272113,0.882501139,0.505633158,3.072579306,-8.620689655,22.23,
2006M04,4.554625958,5.272769751,5.214110166,4.047953761,4.894100443,4.216341379,4.530446361,4.024247262,4.6738209,4.426545538,4.613525395,4.318344641,7.678222052,5.12078043,5.31512227,4.918066102,5.316842806,4.846914557,0.828226107,-0.524900657,13.21301966,3.918722787,21.38,
2006M05,4.579070647,5.377980606,5.393891705,4.044486267,4.900858567,4.230279863,4.543853976,4.027597492,4.7146564,4.442437444,4.628501892,4.335041069,7.458637241,5.255145513,5.315106438,4.94250545,5.34495765,4.976987005,0.46530856,-0.915270106,-0.683176772,-12.70949721,21.29,
2006M06,4.570584228,5.339986064,5.485558608,4.048144572,4.936805544,4.229729187,4.560148707,4.030907978,4.7233072,4.454985937,4.644674264,4.354576926,7.194204717,5.259369663,5.314912601,5.051881155,5.34979183,4.9621468,0.656537217,1.281582243,-1.748351963,-0.64,20.99,
2006M07,4.572248971,5.305261491,5.38624962,4.051566812,4.961180923,4.237113745,4.569667469,4.034219321,4.710114,4.467547389,4.653913708,4.349913607,6.889479976,5.278748333,5.31349702,4.752900486,5.351399308,5.003223416,0.662203649,0.04992273,7.453325554,-0.644122383,21.95,
2006M08,4.594075092,5.363557287,5.465835833,4.055227524,4.978734668,4.241237623,4.576228852,4.036656012,4.741289,4.472312357,4.661597413,4.355568368,6.901071711,5.351753907,5.309416097,4.992760503,5.387095669,5.068179606,0.707663794,0.017274902,-0.597258043,15.72123177,21.77,
2006M09,4.596382901,5.318261701,5.478255007,4.055524189,5.003970913,4.2287847,4.584785929,4.03827725,4.7233901,4.483095275,4.668352685,4.359959268,6.776439047,5.432982632,5.359566781,5.033498292,5.405304334,5.12674004,0.853995078,0.279250591,-15.38986754,-31.37254902,19.88,
2006M10,4.606506992,5.263650832,5.522466891,4.056941568,5.034647309,4.215695983,4.599307577,4.03867255,4.7370599,4.497655882,4.683177016,4.372967775,6.639492926,5.231838915,5.355755883,5.04443989,5.422307101,5.162257123,0.598868792,-0.271970518,-6.697869593,19.3877551,21.39,
2006M11,4.606134021,5.324571531,5.558168032,4.05784249,5.038322936,4.226737535,4.608045312,4.038736833,4.7424082,4.50876379,4.690382616,4.374777031,6.614153156,5.28223399,5.366199775,5.058871629,5.429512501,5.143059088,0.466030478,-0.41318595,1.643314305,26.66666667,22.51,
