DATE,SP500
2013-03-08,1540.3780000000000000
2013-03-15,1557.4300000000000000
2013-03-22,1552.3680000000000000
2013-03-29,1561.8750000000000000
2013-04-05,1559.8740000000000000
2013-04-12,1580.3260000000000000
2013-04-19,1555.1600000000000000
2013-04-26,1577.4940000000000000
2013-05-03,1597.1780000000000000
2013-05-10,1627.3040000000000000
2013-05-17,1652.1660000000000000
2013-05-24,1658.1820000000000000
2013-05-31,1648.3925000000000000
2013-06-07,1629.3280000000000000
2013-06-14,1628.9100000000000000
2013-06-21,1620.0800000000000000
2013-06-28,1596.7720000000000000
2013-07-05,1619.0850000000000000
2013-07-12,1660.1220000000000000
2013-07-19,1684.2260000000000000
2013-07-26,1691.1520000000000000
2013-08-02,1694.7120000000000000
2013-08-09,1696.8640000000000000
2013-08-16,1677.2340000000000000
2013-08-23,1652.3340000000000000
2013-08-30,1638.6720000000000000
2013-09-06,1650.7750000000000000
2013-09-13,1683.2480000000000000
2013-09-20,1712.0260000000000000
2013-09-27,1696.4900000000000000
2013-10-04,1687.9160000000000000
2013-10-11,1676.7460000000000000
2013-10-18,1721.4780000000000000
2013-10-25,1751.5100000000000000
2013-11-01,1763.1100000000000000
2013-11-08,1763.8300000000000000
2013-11-15,1782.0760000000000000
2013-11-22,1792.2760000000000000
2013-11-29,1804.5675000000000000
2013-12-06,1795.7960000000000000
2013-12-13,1788.8060000000000000
2013-12-20,1801.2220000000000000
2013-12-27,1836.1825000000000000
2014-01-03,1838.1950000000000000
2014-01-10,1836.5280000000000000
2014-01-17,1838.2100000000000000
2014-01-24,1826.8525000000000000
2014-01-31,1785.0080000000000000
2014-02-07,1763.8360000000000000
2014-02-14,1821.4620000000000000
2014-02-21,1836.3850000000000000
2014-02-28,1850.3260000000000000
2014-03-07,1869.7040000000000000
2014-03-14,1860.0940000000000000
2014-03-21,1866.0760000000000000
2014-03-28,1856.4560000000000000
2014-04-04,1880.5240000000000000
2014-04-11,1843.5900000000000000
2014-04-18,1850.1875000000000000
2014-04-25,1873.7680000000000000
2014-05-02,1879.3060000000000000
2014-05-09,1876.9400000000000000
2014-05-16,1886.2680000000000000
2014-05-23,1887.7920000000000000
2014-05-30,1916.3225000000000000
2014-06-06,1933.3980000000000000
2014-06-13,1942.4440000000000000
2014-06-20,1951.8200000000000000
2014-06-27,1958.0600000000000000
2014-07-04,1973.4025000000000000
2014-07-11,1969.2880000000000000
2014-07-18,1973.6580000000000000
2014-07-25,1982.0980000000000000
2014-08-01,1954.9500000000000000
2014-08-08,1924.1200000000000000
2014-08-15,1945.5260000000000000
2014-08-22,1984.1240000000000000
2014-08-29,1999.6340000000000000
2014-09-05,2002.0900000000000000
2014-09-12,1993.7320000000000000
2014-09-19,2001.2880000000000000
2014-09-26,1984.8400000000000000
2014-10-03,1962.0640000000000000
2014-10-10,1940.6300000000000000
2014-10-17,1872.8900000000000000
2014-10-24,1937.5600000000000000
2014-10-31,1988.3360000000000000
2014-11-07,2023.3220000000000000
2014-11-14,2039.0680000000000000
2014-11-21,2051.6180000000000000
2014-11-28,2069.2075000000000000
2014-12-05,2068.3220000000000000
2014-12-12,2036.7860000000000000
2014-12-19,2021.4280000000000000
2014-12-26,2082.8400000000000000
2015-01-02,2072.0050000000000000
2015-01-09,2031.2080000000000000
2015-01-16,2014.9300000000000000
2015-01-23,2042.4100000000000000
2015-01-30,2021.0080000000000000
2015-02-06,2046.0760000000000000
2015-02-13,2073.8660000000000000
2015-02-20,2101.9425000000000000
2015-02-27,2110.8480000000000000
2015-03-06,2099.2000000000000000
2015-03-13,2056.6360000000000000
2015-03-20,2090.4680000000000000
2015-03-27,2074.8280000000000000
2015-04-03,2070.1950000000000000
2015-04-10,2086.4180000000000000
2015-04-17,2096.2140000000000000
2015-04-24,2107.2540000000000000
2015-05-01,2104.8660000000000000
2015-05-08,2097.6400000000000000
2015-05-15,2109.3520000000000000
2015-05-22,2127.9520000000000000
2015-05-29,2113.9650000000000000
2015-06-05,2104.8140000000000000
2015-06-12,2093.5200000000000000
2015-06-19,2102.4780000000000000
2015-06-26,2111.8860000000000000
2015-07-03,2068.7375000000000000
2015-07-10,2064.9420000000000000
2015-07-17,2113.3760000000000000
2015-07-24,2108.6880000000000000
2015-07-31,2096.3860000000000000
2015-08-07,2090.4660000000000000
2015-08-14,2089.8460000000000000
2015-08-21,2057.1180000000000000
2015-08-28,1935.5720000000000000
2015-09-04,1941.4480000000000000
2015-09-11,1956.1975000000000000
2015-09-18,1974.9320000000000000
2015-09-25,1942.4100000000000000
2015-10-02,1912.2140000000000000
2015-10-09,1998.2240000000000000
2015-10-16,2014.4720000000000000
2015-10-23,2042.2060000000000000
2015-10-30,2079.2380000000000000
2015-11-06,2103.0560000000000000
2015-11-13,2060.8620000000000000
2015-11-20,2071.5240000000000000
2015-11-27,2088.6775000000000000
2015-12-04,2080.7720000000000000
2015-12-11,2050.5760000000000000
2015-12-18,2037.1720000000000000
2015-12-25,2046.3500000000000000
2016-01-01,2060.5400000000000000
2016-01-08,1976.9500000000000000
2016-01-15,1910.9600000000000000
2016-01-22,1879.1375000000000000
2016-01-29,1899.4520000000000000
2016-02-05,1910.0880000000000000
2016-02-12,1850.2740000000000000
2016-02-19,1914.5025000000000000
2016-02-26,1939.2640000000000000
2016-03-04,1978.0840000000000000
2016-03-11,1996.4080000000000000
2016-03-18,2030.5920000000000000
2016-03-25,2043.5125000000000000
2016-04-01,2057.7060000000000000
2016-04-08,2053.4940000000000000
2016-04-15,2069.9280000000000000
2016-04-22,2096.1200000000000000
2016-04-29,2083.1500000000000000
2016-05-06,2060.7380000000000000
2016-05-13,2063.6520000000000000
2016-05-20,2050.7720000000000000
2016-05-27,2080.7600000000000000
2016-06-03,2100.1700000000000000
2016-06-10,2110.4420000000000000
2016-06-17,2075.0180000000000000
2016-06-24,2081.6660000000000000
2016-07-01,2061.8420000000000000
2016-07-08,2104.0200000000000000
2016-07-15,2153.4440000000000000
2016-07-22,2168.7780000000000000
2016-07-29,2169.5800000000000000
2016-08-05,2167.7560000000000000
2016-08-12,2181.5920000000000000
2016-08-19,2184.2820000000000000
2016-08-26,2177.2980000000000000
2016-09-02,2175.6580000000000000
2016-09-09,2170.4375000000000000
2016-09-16,2139.6500000000000000
2016-09-23,2156.7740000000000000
2016-09-30,2159.3600000000000000
2016-10-07,2157.1860000000000000
2016-10-14,2141.0200000000000000
2016-10-21,2138.5780000000000000
2016-10-28,2138.6740000000000000
2016-11-04,2101.9300000000000000
2016-11-11,2153.2540000000000000
2016-11-18,2178.1100000000000000
2016-11-25,2204.7975000000000000
2016-12-02,2197.6440000000000000
2016-12-09,2232.8020000000000000
2016-12-16,2260.4120000000000000
2016-12-23,2264.6440000000000000
2016-12-30,2251.7225000000000000
2017-01-06,2268.6400000000000000
2017-01-13,2271.6400000000000000
2017-01-20,2268.6950000000000000
2017-01-27,2287.0020000000000000
2017-02-03,2283.5180000000000000
2017-02-10,2300.8560000000000000
2017-02-17,2342.6920000000000000
2017-02-24,2364.8375000000000000
2017-03-03,2378.8780000000000000
2017-03-10,2368.8300000000000000
2017-03-17,2376.7620000000000000
2017-03-24,2351.1760000000000000
2017-03-31,2358.4140000000000000
2017-04-07,2356.9960000000000000
2017-04-14,2346.2050000000000000
2017-04-21,2346.7800000000000000
2017-04-28,2384.6360000000000000
2017-05-05,2391.2880000000000000
2017-05-12,2396.2540000000000000
2017-05-19,2381.4940000000000000
2017-05-26,2405.5440000000000000
2017-06-02,2423.4600000000000000
2017-06-09,2432.8260000000000000
2017-06-16,2434.6540000000000000
2017-06-23,2439.7800000000000000
2017-06-30,2428.4500000000000000
2017-07-07,2424.1200000000000000
2017-07-14,2440.6620000000000000
2017-07-21,2467.9140000000000000
2017-07-28,2474.4780000000000000
2017-08-04,2474.6420000000000000
2017-08-11,2461.8760000000000000
2017-08-18,2450.8240000000000000
2017-08-25,2441.3880000000000000
