Date,NER,ND,match,match2
11.11.2003,-0.0000693,0.0000039,1227,241
12.11.2003,-0.000132453,-0.0000819,1228,241
13.11.2003,0.0000242,0.000203077,1229,241
14.11.2003,0.0000408,0.000442717,1230,241
17.11.2003,-0.0000392,-0.0000174,1233,242
18.11.2003,-0.0000656,0.000129177,1234,242
19.11.2003,-0.000257979,0.000111833,1235,242
20.11.2003,-0.000720127,-0.000103077,1236,243
21.11.2003,-0.000144686,0.00000761,1237,243
24.11.2003,-0.0000224,-0.000283643,1240,243
25.11.2003,-0.0000689,-0.000395555,1241,244
26.11.2003,-0.0000762,-0.0000185,1242,244
27.11.2003,0.0000221,-0.00000749,1243,244
28.11.2003,0.000113279,0.000114282,1244,244
01.12.2003,-0.000107132,0.0000205,1247,245
02.12.2003,-0.0000227,0.00035758,1248,245
03.12.2003,-0.0000145,0.00013341,1249,245
04.12.2003,-0.000153674,0.000100098,1250,245
05.12.2003,0.000100535,0.0000663,1251,246
08.12.2003,0.000363944,0.000162264,1254,246
09.12.2003,-0.000260036,-0.000058,1255,246
10.12.2003,0.000174207,0.0000583,1256,247
11.12.2003,0.0000541,0.000168963,1257,247
15.12.2003,0.000188861,-0.000143451,1261,248
16.12.2003,0.0000359,0.000126522,1262,248
17.12.2003,-0.0000368,-0.0000893,1263,248
18.12.2003,-0.0000897,-0.0000431,1264,248
19.12.2003,0.000302992,0.000226122,1265,248
22.12.2003,0.0000937,-0.000114601,1268,249
23.12.2003,0.0000892,0.000419891,1269,249
24.12.2003,-0.000275367,-0.000128771,1270,249
25.12.2003,-0.0000299,0.0000694,1271,250
26.12.2003,-0.0000273,0.000130142,1272,250
29.12.2003,0.000222137,-0.00000697,1275,250
30.12.2003,0.0000812,-0.00000493,1276,250
12.01.2004,-0.000246647,-0.000101022,1289,253
13.01.2004,0.0000809,0.0000493,1290,253
14.01.2004,-0.000150213,0.000213699,1291,253
15.01.2004,-0.000297573,0.0000429,1292,254
16.01.2004,-0.0000649,0.000190661,1293,254
19.01.2004,0.000129883,-0.0000162,1296,254
20.01.2004,0.00000808,0.0000504,1297,255
23.01.2004,-0.0000659,-0.0000353,1300,255
26.01.2004,-0.0000952,-0.000000665,1303,256
27.01.2004,-0.0000716,-0.000109855,1304,256
28.01.2004,-0.0000203,-0.00000596,1305,256
29.01.2004,-0.000172462,-0.000265782,1306,256
30.01.2004,0.000377388,0.000417349,1307,256
02.02.2004,-0.000107794,0.000175888,1310,257
03.02.2004,-0.0000479,0.0000583,1311,257
04.02.2004,0.0000577,0.000137588,1312,257
05.02.2004,0.000303665,0.0000971,1313,258
06.02.2004,0.000203616,0.000266651,1314,258
09.02.2004,-0.000376049,0.000125832,1317,258
10.02.2004,-0.000000674,0.00024626,1318,259
11.02.2004,-0.000231139,-0.0000929,1319,259
12.02.2004,-0.000243339,-0.00000416,1320,259
13.02.2004,0.0000889,-0.000170171,1321,259
16.02.2004,0.000106611,0.000185984,1324,260
17.02.2004,-0.0000726,0.0000652,1325,260
18.02.2004,0.00009,-0.0000453,1326,260
19.02.2004,-0.000166428,-0.0000717,1327,260
20.02.2004,-0.000183238,0.0000751,1328,261
24.02.2004,-0.0000274,-0.000107466,1332,261
25.02.2004,-0.0000619,0.00000974,1333,262
26.02.2004,0.000105333,0.0000308,1334,262
27.02.2004,-0.00000244,0.000122689,1335,262
02.03.2004,0.00000329,0.000111761,1339,263
03.03.2004,0.000285236,0.000142717,1340,263
04.03.2004,-0.000263693,-0.0000656,1341,263
05.03.2004,0.000146787,-0.0000909,1342,264
10.03.2004,0.000175578,-0.0000745,1347,265
11.03.2004,-0.00000525,0.0000944,1348,265
12.03.2004,-0.000133238,0.0000396,1349,265
15.03.2004,-0.000324244,-0.000082,1352,266
16.03.2004,0.0000414,0.000129,1353,266
17.03.2004,-0.0000313,-0.0000338,1354,266
18.03.2004,0.000200937,0.000249475,1355,266
19.03.2004,0.000187197,0.000195828,1356,266
22.03.2004,0.000187173,0.000294751,1359,267
23.03.2004,-0.000110997,0.000084,1360,267
24.03.2004,-0.00000705,0.00014333,1361,267
25.03.2004,-0.0000733,-0.00012564,1362,268
26.03.2004,0.0000558,0.000165558,1363,268
29.03.2004,0.000129856,0.000095,1366,268
30.03.2004,0.000123948,-0.000177106,1367,268
31.03.2004,0.0000593,0.0000158,1368,268
01.04.2004,-0.000107103,0.0000819,1369,269
02.04.2004,0.0000322,0.000157844,1370,269
05.04.2004,-0.0000769,0.0000359,1373,270
06.04.2004,0.0000226,-0.0000491,1374,270
07.04.2004,-0.0000727,0.0000341,1375,270
08.04.2004,0.00000316,-0.0000343,1376,270
09.04.2004,0.0000694,0.000151566,1377,270
12.04.2004,0.0000518,0.0000942,1380,271
13.04.2004,0.000364346,0.0000551,1381,271
14.04.2004,-0.0000904,-0.0000743,1382,271
15.04.2004,-0.0000736,0.000352638,1383,272
16.04.2004,0.00000577,0.000089,1384,272
19.04.2004,-0.000212254,-0.000338213,1387,272
20.04.2004,0.000191129,0.000103601,1388,273
21.04.2004,-0.000114899,-0.00000231,1389,273
22.04.2004,-0.0000797,-0.000023,1390,273
23.04.2004,-0.0000448,0.0000382,1391,273
26.04.2004,-0.000340798,-0.000157597,1394,274
27.04.2004,-0.0000624,0.0000255,1395,274
12.05.2004,-0.000277885,-0.0000051,1410,277
13.05.2004,0.0000629,-0.0000443,1411,277
14.05.2004,-0.000175445,-0.0000242,1412,277
17.05.2004,-0.000416629,0.0000503,1415,278
18.05.2004,0.00025392,0.000126909,1416,278
19.05.2004,-0.000162487,-0.000139073,1417,278
20.05.2004,-0.000173876,-0.00010322,1418,279
21.05.2004,0.0000351,0.000158351,1419,279
24.05.2004,-0.00000876,0.000146633,1422,279
25.05.2004,-0.000150819,0.000165303,1423,280
26.05.2004,-0.000172775,0.0000508,1424,280
27.05.2004,0.0000646,0.0000845,1425,280
28.05.2004,-0.0000722,0.0000622,1426,280
31.05.2004,-0.000183282,-0.00005,1429,280
01.06.2004,-0.000327535,0.00013051,1430,281
02.06.2004,-0.0000445,-0.000313428,1431,281
03.06.2004,-0.00000464,0.000152813,1432,281
04.06.2004,-0.000100643,-0.0000208,1433,281
07.06.2004,-0.000160366,-0.000368654,1436,282
08.06.2004,-0.000256005,-0.000351361,1437,282
09.06.2004,-0.0000653,0.000072,1438,282
10.06.2004,-0.0000257,-0.000391263,1439,283
11.06.2004,0.0000399,-0.0000261,1440,283
15.06.2004,-0.000138662,-0.0000755,1444,284
16.06.2004,-0.0000824,-0.000254478,1445,284
17.06.2004,-0.000251867,-0.000242304,1446,284
18.06.2004,0.00000617,0.000223288,1447,284
21.06.2004,-0.000162296,-0.000171445,1450,285
22.06.2004,0.0000756,-0.000181086,1451,285
23.06.2004,-0.000294619,-0.000456618,1452,285
24.06.2004,-0.00025518,-0.000436619,1453,285
25.06.2004,-0.000220924,-0.000287594,1454,286
29.06.2004,-0.000188665,-0.0000532,1458,286
30.06.2004,0.0000389,0.0000122,1459,286
01.07.2004,-0.000230033,-0.000106574,1460,287
02.07.2004,-0.0000827,-0.0000726,1461,287
05.07.2004,-0.000306688,-0.0000542,1464,288
06.07.2004,-0.000333484,0.0000594,1465,288
07.07.2004,-0.000307906,-0.000987944,1466,288
08.07.2004,-0.0000683,-0.000302956,1467,288
09.07.2004,0.000145685,-0.000202238,1468,288
12.07.2004,-0.000532207,-0.000535952,1471,289
13.07.2004,-0.000189288,-0.000458055,1472,289
14.07.2004,-0.000147962,-0.000312213,1473,289
15.07.2004,-0.000135845,-0.000194834,1474,290
16.07.2004,0.0000326,-0.000154474,1475,290
19.07.2004,-0.0000546,-0.000345406,1478,290
20.07.2004,-0.00000351,-0.000173651,1479,291
21.07.2004,-0.000133067,0.000019,1480,291
22.07.2004,-0.000470034,-0.000377187,1481,291
23.07.2004,-0.000102246,-0.000161769,1482,291
26.07.2004,-0.0000942,-0.0000184,1485,292
27.07.2004,-0.000279995,-0.0000183,1486,292
