,exog_cb,exof_cf,exog_ir,exog_sf,exog_oil,money,credit/money,credit
2/1/2013,0.005,1.13,4,0.001,95,10.3581522718,1.0228666364,10.3807613851
3/1/2013,0.005,1.13,4,0.001,95,10.3879799315,1.0159734778,10.4038271758
4/1/2013,0.005,1.13,4,0.001,95,10.4064576318,1.0161340086,10.4224628706
5/1/2013,0.005,1.13,4,0.001,95,10.4169317019,1.0175690904,10.43434824
6/1/2013,0.005,1.13,4,0.001,95,10.4429606767,1.0135341249,10.4564040335
7/1/2013,0.005,1.13,4,0.001,95,10.4549496366,1.0174689075,10.4722677167
8/1/2013,0.005,1.13,4,0.001,95,10.464550335,1.0231513636,10.4874377716
9/1/2013,0.005,1.13,4,0.001,95,10.4653537221,1.0360487164,10.5007678884
10/1/2013,0.005,1.13,4,0.001,95,10.4708002473,1.0413720941,10.5113394122
11/1/2013,0.005,1.13,4,0.001,95,10.4820186335,1.0366096358,10.5179740558
12/1/2013,0.005,1.13,4,0.001,95,10.4803387566,1.0269821551,10.5069633117
1/1/2014,0.005,1.13,4,0.001,95,10.4997410958,1.030697417,10.5299767728
2/1/2014,0.005,1.13,4,0.001,95,10.5140173901,1.0285461766,10.5421637162
3/1/2014,0.005,1.13,4,0.001,95,10.5144728124,1.0480508575,10.5614049253
4/1/2014,0.005,1.13,4,0.001,95,10.529977322,1.055045729,10.583561433
5/1/2014,0.005,1.13,4,0.001,95,10.534856718,1.0637295021,10.5966378492
6/1/2014,0.005,1.13,4,0.001,95,10.5323803836,1.0714420162,10.6013858034
7/1/2014,0.005,1.13,4,0.001,95,10.5404916123,1.0766952406,10.6143879998
8/1/2014,0.005,1.13,4,0.001,95,10.550155863,1.0765840367,10.6239489625
9/1/2014,0.005,1.13,4,0.001,95,10.5658524559,1.082854473,10.6454530409
10/1/2014,0.005,1.13,4,0.001,95,10.5904366764,1.080486728,10.6678482901
11/1/2014,0.005,1.13,4,0.001,95,10.6129526801,1.0747558086,10.6850461611
12/1/2014,0.005,1.13,4,0.001,95,10.6177178897,1.1623432543,10.7681559041
1/1/2015,0.005,1.13,4,0.001,95,10.6937313582,1.1250160801,10.8115286872
2/1/2015,0.005,1.13,4,0.001,95,10.663311288,1.144408726,10.7981993951
3/1/2015,0.005,1.13,4,0.001,95,10.6676684135,1.1278534322,10.7879846222
4/1/2015,0.005,1.13,4,0.001,95,10.6672796485,1.1184752003,10.7792459779
5/1/2015,0.005,1.13,4,0.001,95,10.6752630785,1.1142936294,10.7834837664
6/1/2015,0.005,1.13,4,0.001,95,10.6985107025,1.1055757844,10.7988769737
7/1/2015,0.005,1.13,4,0.001,95,10.7142827472,1.0942569349,10.8043582818
8/1/2015,0.005,1.13,4,0.001,95,10.7610623431,1.0783194534,10.8364661106
9/1/2015,0.005,1.13,4,0.001,95,10.7736864832,1.0702448491,10.8415739364
10/1/2015,0.005,1.13,4,0.001,95,10.7758477779,1.0642864086,10.8381523136
11/1/2015,0.005,1.13,4,0.001,95,10.7818967303,1.05539604,10.8358128202
12/1/2015,0.005,1.13,4,0.001,95,10.7968269139,1.0612080402,10.8562348336
1/1/2016,0.005,1.13,4,0.001,95,10.8103719793,1.0579950378,10.8667476226
2/1/2016,0.005,1.13,4,0.001,95,10.8137641297,1.0585278997,10.8706432987
3/1/2016,0.005,1.13,4,0.001,95,10.8150726878,1.0485275851,10.8624595679
4/1/2016,0.005,1.13,4,0.001,95,10.8184273274,1.0496644041,10.8668978253
5/1/2016,0.005,1.13,4,0.001,95,10.8371517052,1.0393114047,10.8757100882
6/1/2016,0.005,1.13,4,0.001,95,10.8339203716,1.0444501099,10.8774109079
7/1/2016,0.005,1.13,4,0.001,95,10.8354361789,1.0480275473,10.88234605
8/1/2016,0.005,1.13,4,0.001,95,10.8310321635,1.0490746334,10.8789406376
9/1/2016,0.005,1.13,4,0.001,95,10.8287364162,1.0494954532,10.8770459441
10/1/2016,0.005,1.13,4,0.001,95,10.8285763069,1.0533636742,10.8805648501
11/1/2016,0.005,1.13,4,0.001,95,10.8295217317,1.0438128754,10.8724019669
