Date,NER,ND,match
14.07.2004,-0.000147962,-0.000312213,1473
15.07.2004,-0.000135845,-0.000194834,1474
16.07.2004,0.0000326,-0.000154474,1475
19.07.2004,-0.0000546,-0.000345406,1478
20.07.2004,-0.00000351,-0.000173651,1479
21.07.2004,-0.000133067,0.000019,1480
22.07.2004,-0.000470034,-0.000377187,1481
23.07.2004,-0.000102246,-0.000161769,1482
26.07.2004,-0.0000942,-0.0000184,1485
27.07.2004,-0.000279995,-0.0000183,1486
28.07.2004,-0.000259532,0.00010374,1487
29.07.2004,-0.000485199,-0.0001028,1488
30.07.2004,-0.000291971,-0.000229809,1489
02.08.2004,0.000094,-0.000199657,1492
03.08.2004,-0.000112184,0.000194673,1493
04.08.2004,-0.000115186,-0.000161976,1494
05.08.2004,0.0000393,-0.000488977,1495
06.08.2004,0.000149907,-0.000377811,1496
09.08.2004,-0.00027878,-0.000107528,1499
10.08.2004,-0.0000528,-0.000370525,1500
11.08.2004,-0.000296596,-0.000383328,1501
12.08.2004,-0.000330135,-0.000329056,1502
13.08.2004,0.0000959,0.000156793,1503
16.08.2004,-0.000255016,-0.000348062,1506
17.08.2004,-0.000122987,-0.00035606,1507
18.08.2004,-0.00000258,-0.000142452,1508
19.08.2004,-0.000074,0.000208298,1509
20.08.2004,-0.0000739,-0.000226529,1510
23.08.2004,-0.0000506,-0.000387256,1513
24.08.2004,-0.000121141,-0.000170616,1514
25.08.2004,-0.0000185,0.0000458,1515
26.08.2004,-0.000223244,-0.000389994,1516
27.08.2004,0.00000615,-0.000125656,1517
30.08.2004,-0.000147244,-0.000219243,1520
31.08.2004,0.0000788,0.000471572,1521
01.09.2004,-0.000113102,-0.000165313,1522
02.09.2004,-0.000429524,-0.000152508,1523
03.09.2004,-0.000319847,-0.0000899,1524
06.09.2004,-0.000188542,0.000202621,1527
07.09.2004,0.000103632,0.0000212,1528
08.09.2004,-0.000180543,-0.000105521,1529
09.09.2004,-0.000285934,0.0000267,1530
10.09.2004,0.0000679,0.000110019,1531
13.09.2004,0.000361673,-0.000157206,1534
14.09.2004,-0.00000124,-0.000096,1535
15.09.2004,0.000115838,0.000127154,1536
16.09.2004,0.0000866,0.0000811,1537
17.09.2004,0.0000595,-0.000235322,1538
20.09.2004,0.000154744,0.0000443,1541
21.09.2004,-0.000097,0.000288013,1542
22.09.2004,0.000140956,-0.000134802,1543
23.09.2004,0.00000128,0.00014905,1544
24.09.2004,-0.000135521,-0.0000674,1545
27.09.2004,-0.0000739,0.000231606,1548
28.09.2004,-0.000110157,-0.000226492,1549
29.09.2004,0.000087,0.000186653,1550
30.09.2004,-0.0000478,-0.000181494,1551
01.10.2004,0.0000458,0.000147869,1552
04.10.2004,0.00000342,0.000175789,1555
05.10.2004,0.0000723,0.000158182,1556
06.10.2004,0.00021897,-0.0000852,1557
07.10.2004,0.000326881,0.000302022,1558
08.10.2004,0.0000427,-0.000105709,1559
11.10.2004,0.0000919,-0.000160952,1562
12.10.2004,-0.00009,0.0000195,1563
13.10.2004,-0.0000151,0.000150499,1564
14.10.2004,-0.0000087,0.000120648,1565
15.10.2004,-0.0000402,0.000041,1566
18.10.2004,0.000100172,0.0000432,1569
19.10.2004,-0.000190048,-0.000197544,1570
20.10.2004,0.00011218,0.000113274,1571
21.10.2004,-0.000253774,-0.000186754,1572
22.10.2004,-0.000039,-0.0000142,1573
25.10.2004,0.00000634,-0.000231703,1576
26.10.2004,-0.000065,0.0000732,1577
27.10.2004,-0.000336754,-0.0000453,1578
28.10.2004,0.00012351,-0.00000282,1579
29.10.2004,0.000085,0.000160686,1580
01.11.2004,0.0000739,0.00007,1583
02.11.2004,-0.00003,0.000202441,1584
03.11.2004,-0.0000581,-0.0000455,1585
04.11.2004,-0.0000209,-0.00013369,1586
05.11.2004,0.0000877,-0.000114657,1587
09.11.2004,0.000155526,0.0000445,1591
10.11.2004,0.0000994,0.000130677,1592
11.11.2004,-0.000253396,-0.00000898,1593
12.11.2004,-0.0000637,-0.000158579,1594
15.11.2004,-0.000246375,-0.000152019,1597
